2000000000.0,0.0059.30102999566,-2.30102999566
17000000000.0,0.002210.2304489214,-2.65757731918
95000000000.0,0.0015897435897410.9777236053,-2.79867291753
2.75e+11,0.0010555555555611.4393326938,-2.97651890415
7.16e+11,0.00072108843537411.8549130223,-3.14201146948
1.68e+12,0.00058195020746912.2253092817,-3.23511417265
3.808e+12,0.00045018796992512.5806969397,-3.34660611454
6.834e+12,0.00020423000660912.8346749745,-3.6898804486
1.4569e+13,0.00011971557853913.1634297433,-3.92184933135
3.4468e+13,9.19644203226e-0513.5374160843,-4.03638016229
8.0383e+13,7.7447457258e-0513.9051642106,-4.11099283635
1.39158e+14,2.50276478094e-0514.1435081784,-4.60157996507
2.67722e+14,1.52453252855e-0514.4276840607,-4.81686330477
4.3921e+14,1.51847359582e-0514.6426722196,-4.81859275547
7.62679e+14,2.07809712832e-0514.8823417885,-4.68233415779
1.193275e+15,1.93290230285e-0515.0767405419,-4.71379009652
1.840239e+15,9.94954897027e-0615.2648742304,-5.0021966061
2.870346e+15,6.64882386005e-0615.457934251,-5.17725517218
4.768281e+15,4.48961634619e-0615.6783618409,-5.34779076943
7.897206e+15,4.48396813602e-0615.8974734668,-5.34833748225
1.2700254e+16,4.78820948698e-0616.1038124068,-5.31982685721
2.1527084e+16,4.56868434081e-0616.3329852055,-5.34020884715
3.6987001e+16,1.65757681623e-0616.568049119,-5.78052633617
6.6997121e+16,6.47648193343e-0716.8260561406,-6.18866084163
