Present Zip Code	Gender	Race	Previous College 1 Name
84103	Female	White	University of Utah
84070	Female	Black or African American	Northern Caribbean University
84606	Female	White	Golden West College
84403	Male	White	Weber State University
84043	Female	White	BRIGHAM YOUNG UNIVERSITY
84102	Female	White	Shippensburg University
84321	Female	White	Utah State University
84701	Female	White	Snow College
84101	Male	White	University of Utah
84098	Female	White	Florida State University
58203	Female	Black or African American	UNIVERSITY OF GHANA
84105	Female	White	University of Michigan
84119	Female	Black or African American	University of Utah
84341	Female	White	Utah State University
84103	Female	White	Brigham Young University
84124	Female	White	Brigham Young University
84341	Female	White	Utah State University
84103	Male	White	University of Utah
84065	Female	White	Utah Valley University
84106	Female	More Than One Race	University of Utah
84105	Female	White	University of Utah
68845	Female	White	University of Nebraska at Kearney
84020	Female	White	Salt Lake Community College
84108	Male	White	United States Military Academy
84102	Female	White	University of Utah
84068	Female	White	UVU
84092	Female	White	Colorado State University
84010	Female	White	Weber State University
84606	Female	White	Brigham Young University
84070	Female	White	Sale Lake Community College
84405	Male	White	University of Utah
84664	Male	White	Utah Valley State College
84124	Female	White	North Seattle Community College
84606	Male	White	Brigham Young University
84095	Female	White	Salt Lake Community College
84087	Male	White	Utah State University
84093	Female	White	University of Utah
84604	Male	White	Utah Valley University
84095	Male	White	Brigham Young University
84105	Male	White	University of Utah
84107	Male	White	Salt Lake Community College
84062	Female	White	Brigham Young University
84043	Female	More Than One Race	Brigham Young University
84107	Male	White	University of Utah
84095	Male	White	Salt Lake Community College
84116	Male	Asian	University of Utah
84121	Female	Asian	University of Utah
84087	Female	White	Coastal Carolina Community College
84042	Male	White	Salt Lake Community College
84117	Female	White	Salt Lake Community College
84092	Female	White	University of Utah
84098	Female	"White, Native Hawaiian or Other Pacific Islander"	Westminster Liberal Arts College
84092	Female	White	Salt Lake Community College
84014	Female	White	Weber State University
84088	Female	White	University of Utah
84095	Female	White	Southern Utah University
84103	Female	White	Great Basin College
84117	Male	White	Utah State University
84095	Female	White	UNIVERSITY OF UTAH
84401	Female	White	Utah State University
84070	Female	White	Salt Lake Community College
83440	Male	White	Brigham Young University Idaho
84103	Female	White	Northern Arizona University
84121	Female	White	Queen's University
84124	Female	Asian	Hebei Medical University
84120	Female	White	Salt Lake Community College
84120	Male	White	Weber State University
84093	Male	White	Utah Valley University
84092	Female	White	University of Utah
84043	Female	White	Salt Lake Community College
84108	Female	White	University of Utah
84606	Female	White	Brigham Young University
84120	Male	Asian	University of Utah
84043	Female	White	Provo College
84095	Female	White	Salt Lake Community College
84041	Male	White	Phoenix College
84107	Female	White	Utah State University
84606	Female	White	Brigham Young University
84102	Female	White	Southern Utah University
84094	Female	White	Salt Lake Community College
84106	Female	White	Brigham Young University
84121	Female	More Than One Race	Salt Lake Communtiy College
84701	Female	White	Southern Utah University
95409	Female	White	Sonoma State University
84094	Female	White	University of Utah
84105	Male	White	University of the Pacific
84081	Female	White	Utah State University
84109	Female	White	University of Utah
98374	Male	White	Ricks College (BYU Idaho)
84094	Female	White	Univ. of the State of Rio de Janeiro
84123	Female	White	University of Utah
84095	Female	White	Salt Lake Community College
84606	Female	White	Brigham Young University
84111	Female	White	University of Utah
84103	Female	White	Brigham Young University
6903	Female	White	University of Connecticut
84095	Female	White	University of Utah
84109	Female	White	University of Utah
84084	Male	White	University of Utah
84003	Male	White	Brigham Young University
84058	Female	White	Utah Valley University
84121	Female	White	Salt Lake Community College
84123	Female	White	Salt Lake Community College
84070	Male	White	University of Utah
84108	Female	White	University of Utah
84601	Female	Black or African American	LDS BUSSINESS COLLEGE
84105	Male	White	University of Utah
84108	Female	White	University of Utah
84095	Male	Asian	Brigham Young University
84093	Male	White	University of Utah
84054	Female	White	University of Utah
84088	Male	White	Salt Lake Community College
84070	Female	Asian	Wuhan University
84092	Female	White	Utah Valley University
97239	Female	White	University of Utah
84103	Female	White	Salt Lake Community College
84111	Male	White	Utah University
84606	Female	White	Utah Valley State College
84057	Female	White	Weber State University
85142	Female	Black or African American	Glendale Community College
84047	Female	More Than One Race	Salt Lake Community College
84107	Male	White	Salt Lake Community College
84606	Female	White	Brigham Young University
84107	Female	White	The Ohio State University
84108	Male	White	University of Utah
84092	Female	White	University of Utah
84095	Male	White	Utah Valley University
84045	Female	White	University of Utah
84117	Female	White	University of Utah
84118	Female	White	Salt Lake Community College
84057	Female	White	Central Washington University
84010	Female	White	Weber State University
84109	Female	White	University of Utah
94558	Female	White	Napa Valley College
84121	Female	White	University of Utah
84601	Female	White	Brigham Young University
84094	Female	White	Salt Lake Community College
84108	Female	White	University of Utah
84109	Male	White	Salt Lake Community College
84062	Female	White	Brigham Young University
84095	Female	White	University of Utah
84108	Male	White	University of Utah
